,artist_name,genres
0,Rage Against The Machine,"rap metal, rap rock, alternative metal, nu metal"
1,System Of A Down,"nu metal, metal, alternative metal, rap metal, rock"
2,Metallica,"metal, thrash metal, rock, heavy metal, hard rock"
3,Dead Kennedys,"punk, hardcore punk, skate punk, proto-punk"
4,The Hives,garage rock
5,The Vines,garage rock
6,Black Sabbath,"metal, heavy metal, rock, stoner rock, doom metal, hard rock"
7,AC/DC,"rock, hard rock, classic rock, rock and roll"
8,Alice In Chains,"grunge, post-grunge"
9,Linkin Park,"nu metal, rap metal, rock, alternative metal"
10,Ozzy Osbourne,"metal, glam metal, heavy metal, hard rock"
11,The Verve,"britpop, shoegaze"
12,Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock"
13,Oasis,"britpop, madchester"
14,NAPA,
15,Maroon 5,pop
16,Balthazar,
17,Olivia Dean,pop soul
18,Lorde,
19,Lola Young,
20,Beyoncé,
21,Lizzo,
22,Alabama Shakes,
23,Corinne Bailey Rae,
24,Destiny Salvation,
25,Diana Ross,"motown, disco"
26,Cheryl Lynn,"disco, post-disco"
27,Miley Cyrus,
28,Artist Invisible,
29,Marina Sena,"brazilian pop, nova mpb"
30,MC Thaizinha,"brega funk, brazilian funk, funk carioca"
31,Nectar Woode,
32,Dojo Cuts,retro soul
33,Shawn Mendes,
34,Alanis Morissette,
35,Thee Sacred Souls,retro soul
36,Bob Marley & The Wailers,"reggae, roots reggae"
37,Pale Jay,retro soul
38,Boogarins,"neo-psychedelic, nova mpb, psychedelic rock"
39,Hajaj,retro soul
40,Jungle,
41,Parcels,indie soul
42,Arlo Parks,
43,Jr Thomas & The Volcanos,"rocksteady, reggae, retro soul, roots reggae"
44,The Rolling Stones,"classic rock, rock"
45,Tim Maia,mpb
46,Jalen Ngonda,retro soul
47,Jorge Mautner,mpb
48,Jorge Ben Jor,"mpb, bossa nova, samba, brazilian jazz"
49,Edward Sharpe & The Magnetic Zeros,
50,The Velvet Underground,"proto-punk, art rock"
51,Geraldo Azevedo,"mpb, forró tradicional, forró"
52,Erasmo Carlos,"mpb, brazilian rock"
53,Bakar,
54,Manu Chao,latin alternative
55,Devendra Banhart,
56,Russo Passapusso,nova mpb
57,Djavan,"mpb, bossa nova"
58,Os Originais Do Samba,"samba, pagode, mpb"
59,Camille Yarbrough,
60,Otis Redding,"soul, motown, classic soul, soul blues"
61,Marvin Gaye,"motown, classic soul, soul, northern soul, quiet storm"
62,Brenton Wood,
63,Bill Withers,"soul, classic soul, motown"
64,Stealers Wheel,
65,Serginho Meriti,samba
66,Elton John,
67,Martinho Da Vila,"samba, pagode, mpb"
68,Arlindo Cruz,"samba, pagode, mpb"
69,Daryl Hall & John Oates,"yacht rock, soft rock"
70,Red Hot Chili Peppers,"funk rock, alternative rock, rock"
71,Amy Winehouse,
72,Sharon Jones & The Dap-Kings,"retro soul, soul, funk"
73,Cartola,"samba, mpb, bossa nova"
74,Chico Buarque,"mpb, bossa nova, samba, brazilian jazz"
75,Nelson Sargento,samba
76,St. Paul & The Broken Bones,retro soul
77,Paulinho Da Viola,"samba, mpb, bossa nova"
78,George Benson,"smooth jazz, yacht rock, jazz funk, soul jazz"
79,Jamiroquai,"acid jazz, funk"
80,Lenny Kravitz,
81,Queen,"classic rock, rock, glam rock"
82,Jack Johnson,surf rock
83,Maria Bethânia,"mpb, samba, bossa nova, axé"
84,"Earth, Wind & Fire","funk, disco"
85,Jorge Aragão,"samba, pagode"
86,Marquinhos Pqd,
87,Alcione,"samba, pagode, mpb"
88,sombr,
89,David Bowie,"glam rock, art rock"
90,T. Rex,"glam rock, proto-punk"
91,Johnny Nash,
92,Toots & The Maytals,"reggae, rocksteady, ska, roots reggae, dub"
93,Ziggy Marley,"reggae, roots reggae"
94,The Teskey Brothers,"retro soul, soul blues, blues"
95,Yaya Bey,
96,Victoria Monét,alternative r&b
97,Liniker,"nova mpb, mpb, brazilian pop"
98,Ben Harper And The Innocent Criminals,
99,Ella Grace,
