,playlist_id,playlist_name,track_id,track_name,artist_names,album_name,album_release_date,popularity,duration_ms
0,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),1992,79,313573
1,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,System Of A Down,Toxicity,2001-09-04,85,210240
2,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,3DwQ7AH3xGD9h65ezslm6q,Enter Sandman - Remastered 2021,Metallica,Metallica (Remastered Deluxe Box Set),2021-09-10,83,331560
3,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,1VNWaY3uNfoeWqb5U8x2QX,Lonely Day,System Of A Down,Hypnotize,2005-11-22,82,167906
4,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,6capuHDLxgoUUjDD0UhAgN,Holiday in Cambodia,Dead Kennedys,Give Me Convenience or Give Me Death,1987-06-15,53,224866
5,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,Rage Against The Machine,The Battle Of Los Angeles,1999-11-02,71,206200
6,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,2QiqwOVUctPRVggO9G1Zs5,Wake Up,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),1992,64,363853
7,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,2rBHnIxbhkMGLpqmsNX91M,Bombtrack,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),1992,66,243453
8,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,0snQkGI5qnAmohLE7jTsTn,Toxicity,System Of A Down,Toxicity,2001-09-04,84,218933
9,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,5Pdd4QCr0rREXM03zBM2Eh,Walk Idiot Walk,The Hives,Tyrannosaurus Hives,2004-01-01,56,211813
10,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,1JcGNoiwifg0MdJMVgJQYx,Get Free,The Vines,Highly Evolved,2002-01-01,57,126573
11,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,755bvJDSA3LNcNuFgBT9LK,Iron Man - 2009 Remaster,Black Sabbath,Paranoid,1970-09-18,74,354213
12,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,Highway to Hell,1979-07-27,85,208400
13,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,6gZVQvQZOFpzIy3HblJ20F,Man in the Box,Alice In Chains,Facelift,1990-08-01,78,285200
14,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,4e9eGQYsOiBcftrWXwsVco,Aerials,System Of A Down,Toxicity,2001-09-04,83,235053
15,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,Rage Against The Machine,Evil Empire,1996-04-16,74,229466
16,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,25CbtOzU8Pn17SAaXFjIR3,Take The Power Back,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),1992,58,336440
17,2VhIiQbHHMKRPEeCukaeZt,Climinha de presencial,18lR4BzEs7e3qzc0KVkTpU,What I've Done,Linkin Park,Minutes to Midnight,2007-05-14,84,205226
